AstarPath.AstarDistribution	astarpath.html#AstarDistribution	Information about where the package was downloaded.
Pathfinding.RecastGraph.RecastGraphUpdatePromise.promises	recastgraphupdatepromise.html#promises	
Pathfinding.RecastGraph.RecastMovePromise.delta	recastmovepromise.html#delta	
Pathfinding.RecastGraph.RecastMovePromise.graph	recastmovepromise.html#graph	
Pathfinding.RecastGraph.RecastMovePromise.newTileRect	recastmovepromise.html#newTileRect	
Pathfinding.RecastGraph.RecastMovePromise.tileMeshes	recastmovepromise.html#tileMeshes	
Pathfinding.RecastGraph.RelevantGraphSurfaceMode	recastgraph.html#RelevantGraphSurfaceMode	
Pathfinding.RecastGraph.TileBorderSizeInVoxels	recastgraph.html#TileBorderSizeInVoxels	Number of extra voxels on each side of a tile to ensure accurate navmeshes near the tile border. \n\nThe width of a tile is expanded by 2 times this value (1x to the left and 1x to the right)
Pathfinding.RecastGraph.TileBorderSizeInWorldUnits	recastgraph.html#TileBorderSizeInWorldUnits	
Pathfinding.RecastGraph.TileWorldSizeX	recastgraph.html#TileWorldSizeX	Size of a tile in world units along the X axis.
Pathfinding.RecastGraph.TileWorldSizeZ	recastgraph.html#TileWorldSizeZ	Size of a tile in world units along the Z axis.
Pathfinding.RecastGraph.backgroundTraversability	recastgraph.html#backgroundTraversability	Whether the base of the graph should default to being walkable or unwalkable. \n\nThis is only used in 2D mode. In 3D mode, this setting has no effect.\n\nFor 2D games, it can be very useful to set the background to be walkable by default, and then constrain walkability using colliders.\n\nIf you don't want to use a walkable background, you can instead create colliders and attach a RecastNavmeshModifier with Surface Type set to Walkable Surface. These will then create walkable regions.\n\n[more in online documentation]
Pathfinding.RecastGraph.bounds	recastgraph.html#bounds	World bounding box for the graph. \n\nThis always contains the whole graph.\n\n[more in online documentation]\n <b>[image in online documentation]</b>
Pathfinding.RecastGraph.cellSize	recastgraph.html#cellSize	Voxel sample size (x,z). \n\nWhen generating a recast graph what happens is that the world is voxelized. You can think of this as constructing an approximation of the world out of lots of boxes. If you have played Minecraft it looks very similar (but with smaller boxes).  <b>[image in online documentation]</b>\n\nLower values will yield higher quality navmeshes, however the graph will be slower to scan.\n\n <b>[image in online documentation]</b>
Pathfinding.RecastGraph.characterRadius	recastgraph.html#characterRadius	Radius of the agent which will traverse the navmesh. \n\nThe navmesh will be eroded with this radius.\n\nThis value will be rounded up to the nearest multiple of cellSize.\n\n <b>[image in online documentation]</b>
Pathfinding.RecastGraph.collectionSettings	recastgraph.html#collectionSettings	Determines which objects are used to build the graph, when it is scanned. \n\nAlso contains some settings for how to convert objects into meshes. Spherical colliders, for example, need to be converted into a triangular mesh before they can be used in the graph.\n\n[more in online documentation]
Pathfinding.RecastGraph.colliderRasterizeDetail	recastgraph.html#colliderRasterizeDetail	Controls detail on rasterization of sphere and capsule colliders. \n\nThe colliders will be approximated with polygons so that the max distance to the theoretical surface is less than 1/(this number of voxels).\n\nA higher value does not necessarily increase quality of the mesh, but a lower value will often speed it up.\n\nYou should try to keep this value as low as possible without affecting the mesh quality since that will yield the fastest scan times.\n\nThe default value is 1, which corresponds to a maximum error of 1 voxel. In most cases, increasing this to a value higher than 2 (corresponding to a maximum error of 0.5 voxels) is not useful.\n\n[more in online documentation]\n\n\n\n[more in online documentation]
Pathfinding.RecastGraph.contourMaxError	recastgraph.html#contourMaxError	Max distance from simplified edge to real edge. \n\nThis value is measured in voxels. So with the default value of 2 it means that the final navmesh contour may be at most 2 voxels (i.e 2 times cellSize) away from the border that was calculated when voxelizing the world. A higher value will yield a more simplified and cleaner navmesh while a lower value may capture more details. However a too low value will cause the individual voxels to be visible (see image below).\n\n <b>[image in online documentation]</b>\n\n[more in online documentation]
Pathfinding.RecastGraph.dimensionMode	recastgraph.html#dimensionMode	Whether to use 3D or 2D mode. \n\n[more in online documentation]
Pathfinding.RecastGraph.editorTileSize	recastgraph.html#editorTileSize	Size in voxels of a single tile. \n\nThis is the width of the tile.\n\n <b>[image in online documentation]</b>\n\nA large tile size can be faster to initially scan (but beware of out of memory issues if you try with a too large tile size in a large world) smaller tile sizes are (much) faster to update.\n\nDifferent tile sizes can affect the quality of paths. It is often good to split up huge open areas into several tiles for better quality paths, but too small tiles can also lead to effects looking like invisible obstacles. For more information about this take a look at Notes about navmesh graphs. Usually it is best to experiment and see what works best for your game.\n\nWhen scanning a recast graphs individual tiles can be calculated in parallel which can make it much faster to scan large worlds. When you want to recalculate a part of a recast graph, this can only be done on a tile-by-tile basis which means that if you often try to update a region of the recast graph much smaller than the tile size, then you will be doing a lot of unnecessary calculations. However if you on the other hand update regions of the recast graph that are much larger than the tile size then it may be slower than necessary as there is some overhead in having lots of tiles instead of a few larger ones (not that much though).\n\nRecommended values are between 64 and 256, but these are very soft limits. It is possible to use both larger and smaller values.
Pathfinding.RecastGraph.forcedBoundsCenter	recastgraph.html#forcedBoundsCenter	Center of the bounding box. \n\nScanning will only be done inside the bounding box
Pathfinding.RecastGraph.hasExtendedInX	recastgraph.html#hasExtendedInX	
Pathfinding.RecastGraph.hasExtendedInZ	recastgraph.html#hasExtendedInZ	
Pathfinding.RecastGraph.mask	recastgraph.html#mask	Layer mask which filters which objects to include. \n\n[more in online documentation]
Pathfinding.RecastGraph.maxEdgeLength	recastgraph.html#maxEdgeLength	Longer edges will be subdivided. \n\nReducing this value can sometimes improve path quality since similarly sized triangles yield better paths than really large and really triangles small next to each other. However it will also add a lot more nodes which will make pathfinding slower. For more information about this take a look at Notes about navmesh graphs.\n\n <b>[image in online documentation]</b>
Pathfinding.RecastGraph.maxSlope	recastgraph.html#maxSlope	Max slope in degrees the character can traverse. \n\n <b>[image in online documentation]</b>
Pathfinding.RecastGraph.meshesUnreadableAtRuntime	recastgraph.html#meshesUnreadableAtRuntime	Internal field used to warn users when the mesh includes meshes that are not readable at runtime.
Pathfinding.RecastGraph.minRegionSize	recastgraph.html#minRegionSize	Minumum region size. \n\nSmall regions will be removed from the navmesh. Measured in voxels.\n\n <b>[image in online documentation]</b>\n\nIf a region is adjacent to a tile border, it will not be removed even though it is small since the adjacent tile might join it to form a larger region.\n\n <b>[image in online documentation]</b><b>[image in online documentation]</b>
Pathfinding.RecastGraph.pendingGraphUpdateArena	recastgraph.html#pendingGraphUpdateArena	
Pathfinding.RecastGraph.perLayerModifications	recastgraph.html#perLayerModifications	List of rules that modify the graph based on the layer of the rasterized object. \n\n <b>[image in online documentation]</b>\n\nBy default, all layers are treated as walkable surfaces. But by adding rules to this list, one can for example make all surfaces with a specific layer get a specific pathfinding tag.\n\nEach layer should be modified at most once in this list.\n\nIf an object has a RecastNavmeshModifier component attached, the settings on that component will override the settings in this list.\n\n[more in online documentation]
Pathfinding.RecastGraph.rasterizeColliders	recastgraph.html#rasterizeColliders	Use colliders to calculate the navmesh. \n\nDepending on the dimensionMode, either 3D or 2D colliders will be rasterized.\n\nSphere/Capsule/Circle colliders will be approximated using polygons, with the precision specified in colliderRasterizeDetail. \n\n[more in online documentation]
Pathfinding.RecastGraph.rasterizeMeshes	recastgraph.html#rasterizeMeshes	Use scene meshes to calculate the navmesh. \n\nThis can get you higher precision than colliders, since colliders are typically very simplified versions of the mesh. However, it is often slower to scan, and graph updates can be particularly slow.\n\nThe reason that graph updates are slower is that there's no efficient way to find all meshes that intersect a given tile, so the graph has to iterate over all meshes in the scene just to find the ones relevant for the tiles that you want to update. Colliders, on the other hand, can be efficiently queried using the physics system.\n\nYou can disable this and attach a RecastNavmeshModifier component (with dynamic=false) to all meshes that you want to be included in the navmesh instead. That way they will be able to be efficiently queried for, without having to iterate through all meshes in the scene.\n\nIn 2D mode, this setting has no effect. \n\n[more in online documentation]
Pathfinding.RecastGraph.rasterizeTerrain	recastgraph.html#rasterizeTerrain	Use terrains to calculate the navmesh. \n\nIn 2D mode, this setting has no effect. \n\n[more in online documentation]
Pathfinding.RecastGraph.rasterizeTrees	recastgraph.html#rasterizeTrees	Rasterize tree colliders on terrains. \n\nIf the tree prefab has a collider, that collider will be rasterized. Otherwise a simple box collider will be used and the script will try to adjust it to the tree's scale, it might not do a very good job though so an attached collider is preferable.\n\n[more in online documentation]\nIn 2D mode, this setting has no effect.\n\n[more in online documentation]
Pathfinding.RecastGraph.relevantGraphSurfaceMode	recastgraph.html#relevantGraphSurfaceMode	Require every region to have a RelevantGraphSurface component inside it. \n\nA RelevantGraphSurface component placed in the scene specifies that the navmesh region it is inside should be included in the navmesh.\n\nIf this is set to OnlyForCompletelyInsideTile a navmesh region is included in the navmesh if it has a RelevantGraphSurface inside it, or if it is adjacent to a tile border. This can leave some small regions which you didn't want to have included because they are adjacent to tile borders, but it removes the need to place a component in every single tile, which can be tedious (see below).\n\nIf this is set to RequireForAll a navmesh region is included only if it has a RelevantGraphSurface inside it. Note that even though the navmesh looks continous between tiles, the tiles are computed individually and therefore you need a RelevantGraphSurface component for each region and for each tile.\n\n <b>[image in online documentation]</b>\n\n <b>[image in online documentation]</b>\n\n <b>[image in online documentation]</b>\n\n <b>[image in online documentation]</b>\n\n[more in online documentation]
Pathfinding.RecastGraph.rotation	recastgraph.html#rotation	Rotation of the graph in degrees.
Pathfinding.RecastGraph.scanEmptyGraph	recastgraph.html#scanEmptyGraph	If true, scanning the graph will yield a completely empty graph. \n\nUseful if you want to replace the graph with a custom navmesh for example\n\n[more in online documentation]
